Sr. No.,Frame Material,Pane Material,Frame E [GPa],Frame K IC [MPa m^[1/2]],Frame alpha [1E-6/K],Frame k [W/m-K],Frame kappa [W m^2/J],Pane E [GPa],Pane K IC [MPa m^[1/2]],Pane alpha [1E-6/K],Pane k [W/m-K],Pane kappa [W m^2/J],Pane Area,Fillet Scale,Pane Depth,Frame Scale,Frame Safety Factor,Pane Safety Factor,Frame Fracture Factor,Pane Fracture Factor
99,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.5,0.01,0.95,0.244,0.46,3.948,0.056
100,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.01,0.975,0.256,0.455,2.83,0.055
101,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.5,0.01,0.975,0.248,0.475,3.187,0.057
102,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.025,0.95,0.248,0.417,3.6,0.045
103,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.5,0.025,0.95,0.252,0.414,3.306,0.045
104,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.025,0.975,0.254,0.397,2.566,0.043
105,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.5,0.025,0.975,0.255,0.42,2.412,0.045
106,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.01,0.95,0.23,0.121,7.27,0.195
107,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.01,0.95,0.231,0.119,5.091,0.183
108,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.01,0.975,0.239,0.123,4.934,0.207
109,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.01,0.975,0.229,0.121,4.575,0.196
110,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.01,0.95,0.229,0.13,5.938,0.29
111,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.01,0.95,0.229,0.128,6.192,0.274
112,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.01,0.975,0.236,0.128,5.45,0.26
113,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.01,0.975,0.23,0.129,6.028,0.272
114,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.025,0.95,0.251,0.134,5.946,0.21
115,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.025,0.95,0.252,0.133,5.091,0.213
116,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.025,0.975,0.261,0.137,4.725,0.234
